country_txt,region_txt,provstate,city,latitude,longitude,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
Australia,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,Bombing/Explosion,Government (Diplomatic),Croatian Nationalists,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Bombing/Explosion,Business,Croatian Nationalists,Explosives
Australia,Australasia & Oceania,Queensland,Brisbane,-27.470933,153.023502,Bombing/Explosion,Tourists,Croatian Nationalists,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.86882,151.209295,Assassination,Government (Diplomatic),Unknown,Explosives
Australia,Australasia & Oceania,,Brisbane,-27.470933,153.023502,Bombing/Explosion,Business,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Facility/Infrastructure Attack,Airports & Aircraft,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Bombing/Explosion,Business,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Bombing/Explosion,Government (Diplomatic),Unknown,Explosives
Australia,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,Bombing/Explosion,Government (General),Unknown,Explosives
Australia,Australasia & Oceania,Western Australia,Perth,-31.952854,115.857339,Bombing/Explosion,Business,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Armed Assault,Government (Diplomatic),Unknown,Firearms
Australia,Australasia & Oceania,New South Wales,Maitland,-32.733664,151.557668,Bombing/Explosion,Business,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Warilla,-34.547304,150.86172,Bombing/Explosion,Business,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Assassination,Military,Justice Commandos for the Armenian Genocide,Firearms
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Bombing/Explosion,Business,Extortionists,Explosives
Australia,Australasia & Oceania,,Liverpool,-33.920019,150.924127,Bombing/Explosion,Business,Extortionists,Unknown
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Assassination,Government (Diplomatic),Unknown,Melee
